,Pontiffnumber,Pontificate,Portrait,Name: English· Latin,Personal name,Date and Place of birth,Age at start/end of papacy,Notes
0,—,"January 1101 – February 1102(1 year, 31 days)",,AdalbertADALBERTVS,AdalbertoO.S.B.,"Rome, Papal States",—,Lombard. In opposition to Pope Paschal II
1,—,"8 November 1105 –11 April 1111(5 years, 154 days)",,Sylvester IVSILVESTER Quartus,Maguinulf,"1050 Rome, Papal States",49 / 55 (†56),German. In opposition to Paschal II.
2,161,"24 January 1118 –29 January 1119(1 year, 5 days)",,Gelasius IIGELASIVS Secundus,Giovanni CaetaniO.S.B.,"c. 1061 Gaeta, Duchy of Gaeta",57 / 58,Italian.
3,—,"10 March 1118 –20 April 1121(3 years, 41 days)",,Gregory VIIIGREGORIVS Octavus,Maurice Baurdain,"c. 1060 Limousin, Occitania, France",58 / 61 (†77),French (Occitan). In opposition to Gelasius II and Callixtus II.
4,162,"2 February 1119 –13 December 1124(5 years, 315 days)",,Callixtus IICALLISTVS Secundus,Guy,"c. 1060 Quingey, Franche-Comté",59 / 64,French. Opened the First Council of the Lateran in 1123.
5,—,16 December 1124–16 December 1124(0 days),,Celestine IICOELESTINVS Secundus,Teobaldo Boccapecora,"1050 Rome, Papal States",74 / 74 (†76),French. In opposition to Honorius II.
6,163,"21 December 1124 –13 February 1130(5 years, 54 days)",,Honorius IIHONORIVS Secundus,Lamberto Scannabecchi da FiagnanoCan.Reg.,"9 February 1060 Fiagnano, Romagna, Holy Roman Empire",64 / 70,Italian. Canon Regular of S. Maria di San Reno. Approved the new military order of the Knights Templar in 1128.
7,164,"14 February 1130 –24 September 1143(13 years, 222 days)",,Innocent IIINNOCENTIVS Secundus,Gregorio PapareschiCan.Reg.,"c. 1082 Rome, Papal States",48 / 61,"Italian. Canon regular of Lateran. Convened the Second Council of the Lateran, 1139."
8,—,"14 February 1130 –25 January 1138(7 years, 345 days)",,Anacletus IIANACLETUS Secundus,Pietro PierleoniO.S.B.,"1090 Rome, Papal States",40 / 48,Italian. In opposition to Innocent II.
9,—,23 March 1138 –25 March 1138(2 days),,Victor IVVICTOR Quartus,Gregorio Conti,"Rome, Papal States",—,Italian. In Opposition to Pope Innocent II
10,165,26 September 1143 –8 March 1144(164 days),,Celestine IICOELESTINVS Secundus,Guido Guelfuccio de Castello,"c. 1085 Città di Castello, Papal States",58 / 59,Italian.
11,166,12 March 1144 –15 February 1145(340 days),,Lucius IILUCIVS Secundus,Gherardo Caccianemici dall'OrsoCan.Reg.,"c. 1079 Bologna, Holy Roman Empire",65 / 66,Italian. Canon Regular of S. Frediano di Lucca.
12,167,"15 February 1145 –8 July 1153(8 years, 143 days)",,Bl. Eugene IIIEVGENIVS Tertius,Pietro dei Paganelli di MontemagnoO.Cist.[16],"c. 1080 Montemagno, Republic of Pisa",44 / 73,Italian. Member of the Order of Cistercians. Announced the Second Crusade.
13,168,"12 July 1153 –3 December 1154(1 year, 144 days)",,Anastasius IVANASTASIVS Quartus,Corrado Demitri della Suburra,"c. 1073 Rome, Papal States",80 / 81,Italian.
14,169,"4 December 1154 –1 September 1159(4 years, 271 days)",,Adrian IVHADRIANVS Quartus,Nicholas BreakspearCan.Reg.,"c. 1100 Abbots Langley, Hertfordshire, Kingdom of England",54 / 59,"The only English (Anglo-Saxon) pope; purportedly granted Ireland to Henry II, King of England. Canon Regular of St. Rufus Monastery."
15,170,"7 September 1159 –30 August 1181(21 years, 357 days)",,Alexander IIIALEXANDER Tertius,Rolando Bandinelli,"c. 1100 Siena, Republic of Siena",59 / 81,"Italian. Convened the Third Council of the Lateran, 1179."
16,—,"7 September 1159 –20 April 1164(4 years, 226 days)",,Victor IVVICTOR Quartus,Ottaviano dei Crescenzi Ottaviani di Monticelli,"1095 Rome, Papal States",64 / 69,Italian. In opposition to Pope Alexander III.
17,—,"28 April 1164 –22 September 1168(4 years, 147 days)",,Paschal IIIPASCALIS Tertius,Guido di Crema,"1110 Rome, Papal States",54 / 58,Italian. In opposition to Alexander III.
18,—,"30 September 1168 –29 August 1178(9 years, 333 days)",,Callixtus IIICALLIXTVS Tertius,Giovanni di StrumaO.S.B.,"1090 Rome, Papal States",78 / 88,Italian. In opposition to Alexander III.
19,—,29 September 1179 – January 1180(124 days),,Innocent IIIINNOCENTIVS Tertius,Lando di Sezze (or Lanzo),"1120 Sezze, Papal States",59 / 60 (†63),Italian. In opposition to Alexander III.
20,171,"1 September 1181 –25 November 1185(4 years, 85 days)",,Lucius IIILUCIVS Tertius,Ubaldo Allucignoli,"c. 1097 Lucca, March of Tuscany, Holy Roman Empire",84 / 88,Italian.
21,172,"25 November 1185 –20 October 1187(1 year, 329 days)",,Urban IIIVRBANVS Tertius,Uberto Crivelli,"c. 1120 Cuggiono, Holy Roman Empire",67 / 67,Italian.
22,173,21 October 1187 –17 December 1187(57 days),,Gregory VIIIGREGORIVS Octavus,Alberto de MorraCan.Reg.,"c. 1100 Benevento, Papal States",87 / 87,Italian. Canon Regular Premostratense. Proposed the Third Crusade.
23,174,"19 December 1187 –20 March 1191[17](3 years, 91 days)",,Clement IIICLEMENS Tertius,Paolo Scolari,"c. 1130 Rome, Papal States",57 / 61,Italian.
24,175,"30 March 1191 –8 January 1198(6 years, 284 days)",,Celestine IIICOELESTINVS Tertius,Giacinto Bobone Orsini,"c. 1106 Rome, Papal States",85 / 92,"Motto: Perfice gressus meos in semitis tuis (""Going in Thy path"")Italian."
25,176,"8 January 1198 –16 July 1216(18 years, 190 days)",,Innocent IIIINNOCENTIVS Tertius,Lotario dei Conti di Segni,"1161 Gavignano, Papal States",37 / 55,"Italian. Convened the Fourth Council of the Lateran, 1215. Initiated the Fourth Crusade but later distanced himself from it and threatened participants with excommunication when it became clear that the leadership abandoned a focus on conquest of the Holy Land and instead intended to sack Christian cities.[18] Endorsed the Franciscan Order."
